,title,movieid,year,am_id,am_href,am_title,am_genres
1363,Blackhat,tt2717822,2015,"{""id"":""mw0000180171"",""thumbnail"":true}",https://www.allmusic.com/album/the-original-soundtrack-mw0000180171,The Original Soundtrack,Pop/Rock
1364,BlacKkKlansman,tt7349662,2018,"{""id"":""mw0000052463"",""thumbnail"":true}",https://www.allmusic.com/album/the-virgin-suicides-original-soundtrack-mw0000052463,The Virgin Suicides [Original Soundtrack],"Electronic, Pop/Rock, Stage & Screen"
1365,BlacKkKlansman,tt7349662,2018,"{""id"":""mw0000524014"",""thumbnail"":true}",https://www.allmusic.com/album/hullabaloo-soundtrack-mw0000524014,Hullabaloo Soundtrack,Pop/Rock
1366,BlacKkKlansman,tt7349662,2018,"{""id"":""mw0000180171"",""thumbnail"":true}",https://www.allmusic.com/album/the-original-soundtrack-mw0000180171,The Original Soundtrack,Pop/Rock
1367,Blade,tt0120611,1998,"{""id"":""mw0002852794"",""thumbnail"":true}",https://www.allmusic.com/album/the-blade-mw0002852794,The Blade,Country
1368,Blade,tt0120611,1998,"{""id"":""mw0000114834"",""thumbnail"":true}",https://www.allmusic.com/album/blade-runner-original-soundtrack-mw0000114834,Blade Runner [Original Soundtrack],"Stage & Screen, Electronic"
1369,Blade,tt0120611,1998,"{""id"":""mw0000052463"",""thumbnail"":true}",https://www.allmusic.com/album/the-virgin-suicides-original-soundtrack-mw0000052463,The Virgin Suicides [Original Soundtrack],"Electronic, Pop/Rock, Stage & Screen"
1370,Blade II,tt0187738,2002,"{""id"":""mw0000114834"",""thumbnail"":true}",https://www.allmusic.com/album/blade-runner-original-soundtrack-mw0000114834,Blade Runner [Original Soundtrack],"Stage & Screen, Electronic"
1371,Blade II,tt0187738,2002,"{""id"":""mw0000600504"",""thumbnail"":true}",https://www.allmusic.com/album/blade-original-soundtrack-mw0000600504,Blade [Original Soundtrack],"Stage & Screen, Reggae"
1372,Blade II,tt0187738,2002,"{""id"":""mw0001968697"",""thumbnail"":true}",https://www.allmusic.com/album/iron-man-2-original-motion-picture-soundtrack-mw0001968697,Iron Man 2 [Original Motion Picture Soundtrack],"Pop/Rock, Stage & Screen"
1373,Blade: Trinity,tt0359013,2004,"{""id"":""mw0000114834"",""thumbnail"":true}",https://www.allmusic.com/album/blade-runner-original-soundtrack-mw0000114834,Blade Runner [Original Soundtrack],"Stage & Screen, Electronic"
1374,Blade: Trinity,tt0359013,2004,"{""id"":""mw0000600504"",""thumbnail"":true}",https://www.allmusic.com/album/blade-original-soundtrack-mw0000600504,Blade [Original Soundtrack],"Stage & Screen, Reggae"
1375,Blade: Trinity,tt0359013,2004,"{""id"":""mw0003115404"",""thumbnail"":true}",https://www.allmusic.com/album/blade-runner-2049-original-motion-picture-soundtrack-mw0003115404,Blade Runner 2049 [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
1376,Blades of Glory,tt0445934,2007,"{""id"":""mw0000569823"",""thumbnail"":true}",https://www.allmusic.com/album/blades-of-glory-original-motion-picture-soundtrack-mw0000569823,Blades of Glory [Original Motion Picture Soundtrack],Stage & Screen
1377,Blades of Glory,tt0445934,2007,"{""id"":""mw0000578874"",""thumbnail"":true}",https://www.allmusic.com/album/blades-of-glory-original-motion-picture-score-mw0000578874,Blades of Glory [Original Motion Picture Score],"Stage & Screen, Classical, New Age"
1378,Blades of Glory,tt0445934,2007,"{""id"":""mw0000752855"",""thumbnail"":true}",https://www.allmusic.com/album/sweeney-todd-the-demon-barber-of-fleet-street-2007-soundtrack-mw0000752855,Sweeney Todd: The Demon Barber of Fleet Street [2007 Soundtrack],"Stage & Screen, Classical"
1379,Blame It on the Bellboy,tt0103827,1992,"{""id"":""mw0000839378"",""thumbnail"":true}",https://www.allmusic.com/album/blame-it-on-the-night-mw0000839378,Blame It on the Night,Pop/Rock
1380,Blame It on the Bellboy,tt0103827,1992,"{""id"":""mw0000785416"",""thumbnail"":true}",https://www.allmusic.com/album/blame-it-on-gravity-mw0000785416,Blame It on Gravity,"Pop/Rock, Country"
1381,Blame It on the Bellboy,tt0103827,1992,"{""id"":""mw0000843457"",""thumbnail"":true}",https://www.allmusic.com/album/blame-it-on-the-bossa-nova-mw0000843457,Blame It on the Bossa Nova,"Vocal, Latin, International, Jazz, Pop/Rock"
1382,Blank Check,tt0109287,1994,"{""id"":""mw0002439727"",""thumbnail"":true}",https://www.allmusic.com/album/blank-check-project-mw0002439727,Blank Check Project,Pop/Rock
1383,Blank Check,tt0109287,1994,"{""id"":""mw0002717530"",""thumbnail"":true}",https://www.allmusic.com/album/blank-check-mw0002717530,Blank Check,Pop/Rock
1384,Blank Check,tt0109287,1994,"{""id"":""mw0001932137"",""thumbnail"":true}",https://www.allmusic.com/album/bombay-1994-original-soundtrack-2-mw0001932137,Bombay [1994 Original Soundtrack #2],Stage & Screen
1385,Blankman,tt0109288,1994,"{""id"":""mw0000052463"",""thumbnail"":true}",https://www.allmusic.com/album/the-virgin-suicides-original-soundtrack-mw0000052463,The Virgin Suicides [Original Soundtrack],"Electronic, Pop/Rock, Stage & Screen"
1386,Blankman,tt0109288,1994,"{""id"":""mw0000941509"",""thumbnail"":true}",https://www.allmusic.com/album/seal-1994-mw0000941509,Seal [1994],Pop/Rock
1387,Blankman,tt0109288,1994,"{""id"":""mw0000524014"",""thumbnail"":true}",https://www.allmusic.com/album/hullabaloo-soundtrack-mw0000524014,Hullabaloo Soundtrack,Pop/Rock
1388,Blast from the Past,tt0124298,1999,"{""id"":""mw0000067682"",""thumbnail"":true}",https://www.allmusic.com/album/blast-from-the-past-mw0000067682,Blast from the Past,Pop/Rock
1389,Blast from the Past,tt0124298,1999,"{""id"":""mw0003239169"",""thumbnail"":true}",https://www.allmusic.com/album/a-blast-from-the-past-mw0003239169,A Blast from the Past,Pop/Rock
1390,Blast from the Past,tt0124298,1999,"{""id"":""mw0002320294"",""thumbnail"":true}",https://www.allmusic.com/album/blast-from-the-past-mw0002320294,Blast From the Past,Pop/Rock
1391,Blended,tt1086772,2014,"{""id"":""mw0000052463"",""thumbnail"":true}",https://www.allmusic.com/album/the-virgin-suicides-original-soundtrack-mw0000052463,The Virgin Suicides [Original Soundtrack],"Electronic, Pop/Rock, Stage & Screen"
1392,Blended,tt1086772,2014,"{""id"":""mw0002786766"",""thumbnail"":true}",https://www.allmusic.com/album/2014-forest-hills-drive-mw0002786766,2014 Forest Hills Drive,Rap
1393,Blended,tt1086772,2014,"{""id"":""mw0000524014"",""thumbnail"":true}",https://www.allmusic.com/album/hullabaloo-soundtrack-mw0000524014,Hullabaloo Soundtrack,Pop/Rock
1394,Bless the Child,tt0163983,2000,"{""id"":""mw0000187914"",""thumbnail"":true}",https://www.allmusic.com/album/god-bless-the-child-mw0000187914,God Bless the Child,Jazz
1395,Bless the Child,tt0163983,2000,"{""id"":""mw0000227607"",""thumbnail"":true}",https://www.allmusic.com/album/bless-the-martyr-and-kiss-the-child-mw0000227607,Bless the Martyr and Kiss the Child,Pop/Rock
1396,Bless the Child,tt0163983,2000,"{""id"":""mw0000743963"",""thumbnail"":true}",https://www.allmusic.com/album/bless-the-child-the-rarities-mw0000743963,Bless the Child: The Rarities,Pop/Rock
1397,Blinded by the Light,tt8266310,2019,"{""id"":""mw0000583540"",""thumbnail"":true}",https://www.allmusic.com/album/blinded-by-the-light-other-hits-mw0000583540,Blinded by the Light & Other Hits,Pop/Rock
1398,Blinded by the Light,tt8266310,2019,"{""id"":""mw0003296630"",""thumbnail"":true}",https://www.allmusic.com/album/blinded-by-the-light-original-motion-picture-soundtrack-mw0003296630,Blinded by the Light [Original Motion Picture Soundtrack],Stage & Screen
1399,Blinded by the Light,tt8266310,2019,"{""id"":""mw0001794322"",""thumbnail"":true}",https://www.allmusic.com/album/blinded-by-the-light-the-very-best-of-the-manfred-manns-earth-band-mw0001794322,Blinded by the Light: The Very Best of the Manfred Mann's Earth Band,Pop/Rock
1400,Blindness,tt0861689,2008,"{""id"":""mw0000052463"",""thumbnail"":true}",https://www.allmusic.com/album/the-virgin-suicides-original-soundtrack-mw0000052463,The Virgin Suicides [Original Soundtrack],"Electronic, Pop/Rock, Stage & Screen"
1401,Blindness,tt0861689,2008,"{""id"":""mw0000524014"",""thumbnail"":true}",https://www.allmusic.com/album/hullabaloo-soundtrack-mw0000524014,Hullabaloo Soundtrack,Pop/Rock
1402,Blindness,tt0861689,2008,"{""id"":""mw0000180171"",""thumbnail"":true}",https://www.allmusic.com/album/the-original-soundtrack-mw0000180171,The Original Soundtrack,Pop/Rock
1403,Blindness,tt0169624,1998,"{""id"":""mw0000052463"",""thumbnail"":true}",https://www.allmusic.com/album/the-virgin-suicides-original-soundtrack-mw0000052463,The Virgin Suicides [Original Soundtrack],"Electronic, Pop/Rock, Stage & Screen"
1404,Blindness,tt0169624,1998,"{""id"":""mw0000524014"",""thumbnail"":true}",https://www.allmusic.com/album/hullabaloo-soundtrack-mw0000524014,Hullabaloo Soundtrack,Pop/Rock
1405,Blindness,tt0169624,1998,"{""id"":""mw0000180171"",""thumbnail"":true}",https://www.allmusic.com/album/the-original-soundtrack-mw0000180171,The Original Soundtrack,Pop/Rock
1406,Blindspotting,tt7242142,2018,"{""id"":""mw0000052463"",""thumbnail"":true}",https://www.allmusic.com/album/the-virgin-suicides-original-soundtrack-mw0000052463,The Virgin Suicides [Original Soundtrack],"Electronic, Pop/Rock, Stage & Screen"
1407,Blindspotting,tt7242142,2018,"{""id"":""mw0000524014"",""thumbnail"":true}",https://www.allmusic.com/album/hullabaloo-soundtrack-mw0000524014,Hullabaloo Soundtrack,Pop/Rock
1408,Blindspotting,tt7242142,2018,"{""id"":""mw0000180171"",""thumbnail"":true}",https://www.allmusic.com/album/the-original-soundtrack-mw0000180171,The Original Soundtrack,Pop/Rock
1409,Blink,tt0109297,1994,"{""id"":""mw0000052463"",""thumbnail"":true}",https://www.allmusic.com/album/the-virgin-suicides-original-soundtrack-mw0000052463,The Virgin Suicides [Original Soundtrack],"Electronic, Pop/Rock, Stage & Screen"
1410,Blink,tt0109297,1994,"{""id"":""mw0000941509"",""thumbnail"":true}",https://www.allmusic.com/album/seal-1994-mw0000941509,Seal [1994],Pop/Rock
1411,Blink,tt0109297,1994,"{""id"":""mw0000524014"",""thumbnail"":true}",https://www.allmusic.com/album/hullabaloo-soundtrack-mw0000524014,Hullabaloo Soundtrack,Pop/Rock
1412,Blockers,tt2531344,2018,"{""id"":""mw0000052463"",""thumbnail"":true}",https://www.allmusic.com/album/the-virgin-suicides-original-soundtrack-mw0000052463,The Virgin Suicides [Original Soundtrack],"Electronic, Pop/Rock, Stage & Screen"
1413,Blockers,tt2531344,2018,"{""id"":""mw0000524014"",""thumbnail"":true}",https://www.allmusic.com/album/hullabaloo-soundtrack-mw0000524014,Hullabaloo Soundtrack,Pop/Rock
1414,Blockers,tt2531344,2018,"{""id"":""mw0000180171"",""thumbnail"":true}",https://www.allmusic.com/album/the-original-soundtrack-mw0000180171,The Original Soundtrack,Pop/Rock
1415,Blood and Chocolate,tt0397044,2007,"{""id"":""mw0000187197"",""thumbnail"":true}",https://www.allmusic.com/album/charlie-and-the-chocolate-factory-original-motion-picture-soundtrack-mw0000187197,Charlie and the Chocolate Factory [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
1416,Blood and Chocolate,tt0397044,2007,"{""id"":""mw0002039926"",""thumbnail"":true}",https://www.allmusic.com/album/spartacus-blood-and-sand-original-television-soundtrack-mw0002039926,Spartacus: Blood And Sand [Original Television Soundtrack],Stage & Screen
1417,Blood and Chocolate,tt0397044,2007,"{""id"":""mw0000549772"",""thumbnail"":true}",https://www.allmusic.com/album/blood-chocolate-original-soundtrack-mw0000549772,Blood & Chocolate [Original Soundtrack],Stage & Screen
1418,Blood and Wine,tt0115710,1997,"{""id"":""mw0002103642"",""thumbnail"":true}",https://www.allmusic.com/album/for-blood-and-wine-mw0002103642,For Blood And Wine,Pop/Rock
1419,Blood and Wine,tt0115710,1997,"{""id"":""mw0002704314"",""thumbnail"":true}",https://www.allmusic.com/album/between-wine-and-blood-mw0002704314,Between Wine and Blood,Pop/Rock
1420,Blood and Wine,tt0115710,1997,"{""id"":""mw0003308634"",""thumbnail"":true}",https://www.allmusic.com/album/blood-and-wine-mw0003308634,Blood and Wine,Pop/Rock
1421,Blood Diamond,tt0450259,2006,"{""id"":""mw0000499799"",""thumbnail"":true}",https://www.allmusic.com/album/there-will-be-blood-original-soundtrack-mw0000499799,There Will Be Blood [Original Soundtrack],"Stage & Screen, Classical"
1422,Blood Diamond,tt0450259,2006,"{""id"":""mw0000460635"",""thumbnail"":true}",https://www.allmusic.com/album/blood-diamond-original-motion-picture-soundtrack-mw0000460635,Blood Diamond [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
1423,Blood Diamond,tt0450259,2006,"{""id"":""mw0000274013"",""thumbnail"":true}",https://www.allmusic.com/album/first-blood-original-motion-picture-soundtrack-mw0000274013,First Blood [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
1424,"Blood In, Blood Out",tt0106469,1993,"{""id"":""mw0002718494"",""thumbnail"":true}",https://www.allmusic.com/album/blood-in-blood-out-mw0002718494,"Blood In, Blood Out",Pop/Rock
1425,"Blood In, Blood Out",tt0106469,1993,"{""id"":""mw0001545264"",""thumbnail"":true}",https://www.allmusic.com/album/blood-in-blood-out-mw0001545264,Blood In Blood Out,Rap
1426,"Blood In, Blood Out",tt0106469,1993,"{""id"":""mw0000523543"",""thumbnail"":true}",https://www.allmusic.com/album/blood-in-blood-out-mw0000523543,Blood in Blood Out,Rap
1427,Blood Work,tt0309377,2002,"{""id"":""mw0000499799"",""thumbnail"":true}",https://www.allmusic.com/album/there-will-be-blood-original-soundtrack-mw0000499799,There Will Be Blood [Original Soundtrack],"Stage & Screen, Classical"
1428,Blood Work,tt0309377,2002,"{""id"":""mw0000460635"",""thumbnail"":true}",https://www.allmusic.com/album/blood-diamond-original-motion-picture-soundtrack-mw0000460635,Blood Diamond [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
1429,Blood Work,tt0309377,2002,"{""id"":""mw0000274013"",""thumbnail"":true}",https://www.allmusic.com/album/first-blood-original-motion-picture-soundtrack-mw0000274013,First Blood [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
1430,Bloodfist II,tt0099155,1990,"{""id"":""mw0001968697"",""thumbnail"":true}",https://www.allmusic.com/album/iron-man-2-original-motion-picture-soundtrack-mw0001968697,Iron Man 2 [Original Motion Picture Soundtrack],"Pop/Rock, Stage & Screen"
1431,Bloodfist II,tt0099155,1990,"{""id"":""mw0000333159"",""thumbnail"":true}",https://www.allmusic.com/album/shrek-2-original-soundtrack-mw0000333159,Shrek 2 [Original Soundtrack],"Stage & Screen, Pop/Rock, R&B"
1432,Bloodfist II,tt0099155,1990,"{""id"":""mw0000209727"",""thumbnail"":true}",https://www.allmusic.com/album/spider-man-2-original-soundtrack-mw0000209727,Spider-Man 2 [Original Soundtrack],"Stage & Screen, Pop/Rock"
1433,BloodRayne,tt0383222,2006,"{""id"":""mw0000052463"",""thumbnail"":true}",https://www.allmusic.com/album/the-virgin-suicides-original-soundtrack-mw0000052463,The Virgin Suicides [Original Soundtrack],"Electronic, Pop/Rock, Stage & Screen"
1434,BloodRayne,tt0383222,2006,"{""id"":""mw0000524014"",""thumbnail"":true}",https://www.allmusic.com/album/hullabaloo-soundtrack-mw0000524014,Hullabaloo Soundtrack,Pop/Rock
1435,BloodRayne,tt0383222,2006,"{""id"":""mw0000180171"",""thumbnail"":true}",https://www.allmusic.com/album/the-original-soundtrack-mw0000180171,The Original Soundtrack,Pop/Rock
1436,Bloodshot,tt1634106,2020,"{""id"":""mw0000193570"",""thumbnail"":true}",https://www.allmusic.com/album/bloodshot-mw0000193570,Bloodshot,Pop/Rock
1437,Bloodshot,tt1634106,2020,"{""id"":""mw0002491699"",""thumbnail"":true}",https://www.allmusic.com/album/20-20-experience-mw0002491699,20/20 Experience,Pop/Rock
1438,Bloodshot,tt1634106,2020,"{""id"":""mw0000118177"",""thumbnail"":true}",https://www.allmusic.com/album/20-20-mw0000118177,20/20,Pop/Rock
1439,Blow,tt0221027,2001,"{""id"":""mw0000619122"",""thumbnail"":true}",https://www.allmusic.com/album/blow-by-blow-mw0000619122,Blow by Blow,"Pop/Rock, Jazz"
1440,Blow,tt0221027,2001,"{""id"":""mw0000040094"",""thumbnail"":true}",https://www.allmusic.com/album/2001-mw0000040094,2001,Rap
1441,Blow,tt0221027,2001,"{""id"":""mw0000052463"",""thumbnail"":true}",https://www.allmusic.com/album/the-virgin-suicides-original-soundtrack-mw0000052463,The Virgin Suicides [Original Soundtrack],"Electronic, Pop/Rock, Stage & Screen"
1442,Blown Away,tt0109303,1994,"{""id"":""mw0002332213"",""thumbnail"":true}",https://www.allmusic.com/album/blown-away-mw0002332213,Blown Away,"Country, Pop/Rock"
1443,Blown Away,tt0109303,1994,"{""id"":""mw0002698807"",""thumbnail"":true}",https://www.allmusic.com/album/blown-away-mw0002698807,Blown Away,Electronic
1444,Blown Away,tt0109303,1994,"{""id"":""mw0002559800"",""thumbnail"":true}",https://www.allmusic.com/album/the-blown-away-tour-live-mw0002559800,The Blown Away Tour: Live,Country
1445,Blue,tt0106438,1993,"{""id"":""mw0000264743"",""thumbnail"":true}",https://www.allmusic.com/album/blue-lines-mw0000264743,Blue Lines,Electronic
1446,Blue,tt0106438,1993,"{""id"":""mw0000187969"",""thumbnail"":true}",https://www.allmusic.com/album/blue-train-mw0000187969,Blue Train,Jazz
1447,Blue,tt0106438,1993,"{""id"":""mw0000193531"",""thumbnail"":true}",https://www.allmusic.com/album/blue-mw0000193531,Blue,Pop/Rock
1448,Blue Chips,tt0109305,1994,"{""id"":""mw0003094712"",""thumbnail"":true}",https://www.allmusic.com/album/blue-chips-7000-mw0003094712,Blue Chips 7000,Rap
1449,Blue Chips,tt0109305,1994,"{""id"":""mw0002352832"",""thumbnail"":true}",https://www.allmusic.com/album/blue-chips-mw0002352832,Blue Chips,Rap
1450,Blue Chips,tt0109305,1994,"{""id"":""mw0000189159"",""thumbnail"":true}",https://www.allmusic.com/album/blue-velvet-original-motion-picture-soundtrack-mw0000189159,Blue Velvet [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
1451,Blue Crush,tt0300532,2002,"{""id"":""mw0000189159"",""thumbnail"":true}",https://www.allmusic.com/album/blue-velvet-original-motion-picture-soundtrack-mw0000189159,Blue Velvet [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
1452,Blue Crush,tt0300532,2002,"{""id"":""mw0000653002"",""thumbnail"":true}",https://www.allmusic.com/album/the-thin-blue-line-original-soundtrack-mw0000653002,The Thin Blue Line (Original Soundtrack),"Stage & Screen, Avant-Garde, Classical"
1453,Blue Crush,tt0300532,2002,"{""id"":""mw0000661203"",""thumbnail"":true}",https://www.allmusic.com/album/blue-crush-mw0000661203,Blue Crush,"Stage & Screen, Pop/Rock"
1454,Blue in the Face,tt0112541,1995,"{""id"":""mw0000021289"",""thumbnail"":true}",https://www.allmusic.com/album/blue-in-the-face-mw0000021289,Blue in the Face,Pop/Rock
1455,Blue in the Face,tt0112541,1995,"{""id"":""mw0000171912"",""thumbnail"":true}",https://www.allmusic.com/album/blue-in-the-face-luaka-bop-mw0000171912,Blue in the Face [Luaka Bop],Stage & Screen
1456,Blue in the Face,tt0112541,1995,"{""id"":""mw0002466936"",""thumbnail"":true}",https://www.allmusic.com/album/blue-in-the-face-mw0002466936,Blue In the Face,Rap
1457,Blue Jasmine,tt2334873,2013,"{""id"":""mw0000189159"",""thumbnail"":true}",https://www.allmusic.com/album/blue-velvet-original-motion-picture-soundtrack-mw0000189159,Blue Velvet [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
1458,Blue Jasmine,tt2334873,2013,"{""id"":""mw0000653002"",""thumbnail"":true}",https://www.allmusic.com/album/the-thin-blue-line-original-soundtrack-mw0000653002,The Thin Blue Line (Original Soundtrack),"Stage & Screen, Avant-Garde, Classical"
1459,Blue Jasmine,tt2334873,2013,"{""id"":""mw0002636144"",""thumbnail"":true}",https://www.allmusic.com/album/blue-jasmine-mw0002636144,Blue Jasmine,"Jazz, Stage & Screen"
1460,Blue Sky,tt0109306,1994,"{""id"":""mw0000578284"",""thumbnail"":true}",https://www.allmusic.com/album/sky-blue-sky-mw0000578284,Sky Blue Sky,Pop/Rock
1461,Blue Sky,tt0109306,1994,"{""id"":""mw0000654610"",""thumbnail"":true}",https://www.allmusic.com/album/blue-sky-mining-mw0000654610,Blue Sky Mining,Pop/Rock
1462,Blue Sky,tt0109306,1994,"{""id"":""mw0000076870"",""thumbnail"":true}",https://www.allmusic.com/album/blue-sky-on-mars-mw0000076870,Blue Sky on Mars,Pop/Rock
1463,Blue Streak,tt0181316,1999,"{""id"":""mw0000175673"",""thumbnail"":true}",https://www.allmusic.com/album/blue-streak-mw0000175673,Blue Streak,Blues
1464,Blue Streak,tt0181316,1999,"{""id"":""mw0000243892"",""thumbnail"":true}",https://www.allmusic.com/album/tarzan-1999-original-motion-picture-soundtrack-mw0000243892,Tarzan [1999] [Original Motion Picture Soundtrack],Stage & Screen
1465,Blue Streak,tt0181316,1999,"{""id"":""mw0000189159"",""thumbnail"":true}",https://www.allmusic.com/album/blue-velvet-original-motion-picture-soundtrack-mw0000189159,Blue Velvet [Original Motion Picture Soundtrack],"Stage & Screen, Classical"
